years_experience,skills_match_score,education_level,project_count,resume_length
1,48.1,1,4,740
11,93.7,3,13,836
5,77.3,1,10,592
12,96.0,3,19,603
1,71.6,2,4,509
0,67.4,1,4,182
4,66.6,0,6,428
0,64.5,2,6,338
10,61.1,2,12,608
7,74.3,1,4,686
8,84.8,2,11,788
1,77.6,1,4,527
10,92.2,2,14,900
4,54.0,1,11,442
7,83.2,2,11,494
5,38.8,1,6,404
10,47.3,2,13,565
10,80.1,2,14,706
8,75.9,1,11,489
13,77.3,0,12,807
12,92.9,2,15,747
1,57.2,2,5,377
12,98.6,2,15,681
9,100.0,3,14,679
11,73.8,1,17,758
10,56.8,2,14,658
5,64.8,2,8,613
3,85.0,2,3,650
1,56.9,1,3,448
15,99.7,1,11,555
10,81.3,1,13,464
2,76.7,2,8,394
8,62.1,1,10,651
7,100.0,1,11,567
8,79.3,3,11,575
12,70.6,2,17,832
10,97.5,2,8,548
1,49.8,3,4,530
5,59.8,2,7,518
10,79.9,1,13,644
11,96.3,1,14,714
7,97.3,1,4,438
9,64.6,0,7,434
3,51.4,1,14,540
2,61.7,2,7,350
15,100.0,3,15,817
4,70.3,2,15,312
1,42.5,2,1,422
0,58.9,0,6,413
5,52.4,0,5,538
10,75.6,2,17,547
13,80.2,1,16,547
10,46.3,1,11,740
0,45.0,0,3,269
9,95.8,2,13,474
1,56.7,1,4,423
11,70.0,1,7,718
8,71.5,0,6,546
5,77.7,0,11,484
8,89.9,2,11,578
3,55.1,2,6,454
14,100.0,3,21,707
11,72.3,0,14,732
9,76.0,2,16,696
14,98.9,3,19,722
0,34.3,1,5,509
2,38.2,1,10,488
12,62.4,0,12,564
12,72.3,1,19,702
14,77.5,1,19,759
7,70.0,1,10,442
11,78.1,1,13,626
5,60.6,1,10,202
4,68.9,1,8,299
12,90.3,2,8,483
7,73.4,2,10,580
11,89.8,1,6,772
4,56.9,0,8,274
15,92.0,1,16,652
3,90.4,1,6,251
8,92.3,2,6,447
10,88.0,1,11,724
8,67.3,1,8,813
5,67.7,1,9,356
5,50.2,3,4,315
15,100.0,1,17,637
6,69.7,0,8,438
9,84.4,3,12,900
14,82.6,1,10,740
1,37.0,2,12,481
13,81.1,3,10,624
4,73.2,0,5,558
7,89.2,1,15,556
2,64.8,3,7,426
0,63.5,2,11,387
13,94.7,2,10,657
5,71.6,2,9,610
12,97.6,2,7,752
9,100.0,2,10,601
5,74.3,2,13,503
3,63.2,0,5,276
9,85.1,1,13,589
5,57.4,2,11,395
15,81.1,2,21,777
8,73.7,2,14,545
9,48.8,2,11,685
5,70.2,2,14,656
15,79.1,1,16,645
7,65.5,1,15,611
11,80.6,0,10,528
0,45.6,2,5,605
13,95.7,2,16,597
11,46.0,2,21,506
12,100.0,2,9,645
1,52.1,0,5,567
12,73.0,1,21,537
15,79.6,1,19,900
2,58.8,1,5,326
5,61.5,0,5,332
5,31.3,2,5,415
7,87.7,1,9,497
3,52.0,2,11,426
15,72.8,2,8,628
13,99.8,2,13,687
14,93.7,2,18,633
4,74.9,1,7,662
11,45.2,1,13,900
15,77.3,1,16,684
8,66.7,1,12,726
6,100.0,1,10,670
6,86.9,1,10,579
1,79.0,2,6,555
0,58.3,2,2,264
9,67.7,2,17,601
15,67.0,0,10,842
8,72.1,2,8,613
6,100.0,3,7,472
6,44.0,1,15,348
6,74.5,1,9,539
3,71.6,1,5,438
6,87.1,1,9,722
0,64.4,1,7,325
14,86.8,1,21,854
10,72.3,2,13,723
14,100.0,3,19,752
14,100.0,1,16,717
7,78.1,1,5,565
15,100.0,1,11,888
2,53.5,1,6,628
8,69.5,3,13,655
11,92.9,1,15,565
15,92.1,1,10,708
9,84.8,1,11,702
11,77.0,2,14,568
5,69.2,2,5,503
4,65.4,1,6,401
13,75.5,0,13,700
7,81.3,1,12,611
7,56.1,0,4,654
7,77.5,1,8,430
8,86.1,1,10,574
10,79.3,1,10,533
12,100.0,0,9,800
4,84.7,2,6,447
9,73.3,2,6,575
2,42.7,2,7,430
2,61.9,2,5,454
10,67.5,2,16,494
14,82.0,1,11,648
1,53.4,1,9,417
6,58.1,1,12,638
0,65.2,1,3,150
7,73.1,2,8,734
12,58.8,0,12,694
2,72.4,1,4,390
2,64.7,1,2,446
15,79.5,2,18,875
12,74.6,1,24,669
15,94.5,0,19,837
15,74.5,2,19,693
5,91.1,3,19,407
5,65.4,1,7,420
15,53.6,0,14,739
9,97.9,1,16,719
14,87.1,1,20,854
14,78.0,2,14,784
5,63.6,1,8,293
2,85.1,2,12,478
15,63.2,0,15,797
8,81.4,1,11,539
13,85.0,1,12,710
3,44.7,1,8,698
4,61.0,0,6,616
0,66.9,2,11,365
0,51.2,1,6,150
12,76.2,3,16,644
14,99.3,3,12,610
9,72.3,1,11,755
14,100.0,3,19,793
5,38.9,1,8,283
12,89.9,1,17,523
8,71.4,2,11,434
10,92.3,1,8,658
12,94.6,1,9,702
15,83.0,1,16,794
11,90.1,2,12,899
1,71.1,1,7,364
6,76.9,1,9,721
4,84.2,1,7,555
2,46.8,1,8,230
7,47.6,2,9,602
14,97.9,1,11,671
2,55.5,2,7,306
12,100.0,1,7,620
6,64.1,1,9,441
10,99.8,1,6,754
9,100.0,3,11,789
8,68.3,1,11,780
7,69.7,1,14,801
12,79.1,1,11,373
13,73.4,1,11,649
8,85.9,2,16,709
10,76.0,1,17,561
3,37.6,2,7,420
1,67.8,2,7,459
5,65.5,2,7,522
7,66.9,2,7,655
3,49.4,1,2,470
4,59.1,0,8,308
6,68.7,1,6,397
2,45.7,0,7,442
0,28.6,0,3,466
2,45.7,1,6,535
0,69.8,3,13,384
9,63.7,0,11,663
0,48.4,1,5,442
11,64.9,2,16,702
12,75.0,1,10,717
4,93.8,1,9,337
11,89.7,1,9,544
7,75.9,2,5,631
15,100.0,3,14,749
11,94.9,2,16,624
12,100.0,2,19,691
12,84.2,2,15,573
6,66.1,1,11,563
4,78.0,1,8,171
14,100.0,1,18,675
15,50.6,0,18,824
12,63.2,2,13,774
13,90.8,3,17,674
11,87.0,2,13,802
11,77.3,2,15,813
5,67.2,2,9,466
10,100.0,3,14,652
2,69.8,2,11,268
15,91.3,2,14,843
1,79.5,3,6,410
9,74.4,2,10,375
1,75.3,1,5,298
1,52.6,1,11,412
13,82.8,1,13,748
15,69.5,1,13,740
8,65.8,3,21,562
8,94.3,0,14,746
4,40.0,1,8,466
7,62.4,1,12,481
14,100.0,1,12,782
5,73.4,2,7,504
12,87.2,1,18,587
3,76.4,2,6,470
2,61.3,0,6,233
8,72.2,2,8,689
7,71.4,1,10,527
6,76.2,2,9,279
15,84.4,2,16,734
7,75.8,1,4,685
13,92.9,1,8,653
3,74.9,2,11,445
7,100.0,2,8,483
3,52.1,2,3,519
2,79.7,1,9,419
7,64.1,2,16,529
1,36.6,1,7,181
1,99.8,1,12,485
6,43.2,2,12,550
8,64.8,2,11,569
3,45.5,1,8,432
9,100.0,1,12,376
7,92.5,2,10,413
5,49.6,1,9,277
4,81.8,2,11,488
5,54.0,1,9,376
4,69.9,1,7,396
5,72.6,1,11,504
10,100.0,2,10,660
6,63.0,1,10,566
2,59.7,2,5,398
1,56.4,1,6,520
1,66.7,2,5,478
3,79.5,1,10,450
8,77.0,3,5,597
12,85.4,1,13,732
2,66.9,1,6,456
11,85.7,2,14,722
9,58.2,0,13,784
7,61.0,1,8,532
6,74.2,1,6,424
2,85.8,2,4,655
7,80.5,1,8,558
14,68.9,3,14,811
0,59.5,2,6,303
9,100.0,2,16,533
6,53.8,1,4,249
4,64.2,2,16,380
6,59.1,2,8,611
4,76.2,3,8,555
7,87.2,1,3,615
1,87.9,1,6,477
5,72.9,2,11,488
7,85.2,1,15,682
13,98.8,2,22,846
8,52.6,1,5,790
1,69.9,2,9,560
10,67.0,3,8,765
14,90.3,3,10,658
12,87.1,3,14,803
10,83.2,1,12,656
14,85.9,1,14,834
11,100.0,3,9,675
8,97.3,1,12,858
3,60.2,2,10,543
9,74.8,2,8,597
11,74.4,1,8,593
12,100.0,3,7,571
1,86.1,1,10,396
11,83.2,1,7,695
5,66.4,3,10,565
0,87.0,2,9,476
2,77.7,2,8,623
2,43.8,2,4,644
0,55.6,1,3,345
10,91.1,2,10,587
1,49.1,2,6,400
12,83.3,1,12,588
8,83.6,1,11,574
8,94.5,2,13,713
14,85.1,3,25,900
15,70.0,1,23,659
13,81.1,1,20,836
8,100.0,1,14,517
0,53.7,2,6,503
2,44.7,0,3,528
11,100.0,2,12,579
14,77.0,2,18,814
15,100.0,2,16,898
6,59.7,0,9,704
14,51.3,1,13,618
10,83.7,2,19,748
6,90.5,3,8,514
15,100.0,2,24,900
9,61.5,3,9,575
9,62.3,1,12,563
6,50.1,1,8,716
0,69.6,2,9,174
0,46.8,1,4,204
6,89.7,2,12,418
14,98.9,1,18,900
5,56.4,1,9,454
15,79.6,0,10,840
14,87.7,2,18,740
4,42.3,1,6,655
8,80.5,1,9,504
3,82.2,2,13,496
15,94.1,1,20,859
3,60.2,1,8,414
13,100.0,2,12,708
2,83.5,1,5,624
9,72.3,1,8,470
3,72.0,2,9,523
2,73.2,2,3,268
3,50.6,2,13,576
9,68.9,1,10,550
11,87.6,2,15,576
